Name,Token,Symbol,Exch Seg
TORNTPOWER,13786,TORNTPOWER-EQ,NSE
TRENT,1964,TRENT-EQ,NSE
POONAWALLA,11403,POONAWALLA-EQ,NSE
RVNL,9552,RVNL-EQ,NSE
SIEMENS,3150,SIEMENS-EQ,NSE
SONACOMS,4684,SONACOMS-EQ,NSE
CUMMINSIND,1901,CUMMINSIND-EQ,NSE
NESTLEIND,17963,NESTLEIND-EQ,NSE
ABB,13,ABB-EQ,NSE
SHREECEM,3103,SHREECEM-EQ,NSE
TORNTPHARM,3518,TORNTPHARM-EQ,NSE
ZYDUSLIFE,7929,ZYDUSLIFE-EQ,NSE
INDIGO,11195,INDIGO-EQ,NSE
HAL,2303,HAL-EQ,NSE
HINDPETRO,1406,HINDPETRO-EQ,NSE
NYKAA,6545,NYKAA-EQ,NSE
PIIND,24184,PIIND-EQ,NSE
IRCTC,13611,IRCTC-EQ,NSE
GODREJCP,10099,GODREJCP-EQ,NSE
MANKIND,15380,MANKIND-EQ,NSE
DMART,19913,DMART-EQ,NSE
BANKINDIA,4745,BANKINDIA-EQ,NSE
TVSMOTOR,8479,TVSMOTOR-EQ,NSE
GRASIM,1232,GRASIM-EQ,NSE
LUPIN,10440,LUPIN-EQ,NSE
BPCL,526,BPCL-EQ,NSE
CIPLA,694,CIPLA-EQ,NSE
MAXHEALTH,22377,MAXHEALTH-EQ,NSE
ADANIPORTS,15083,ADANIPORTS-EQ,NSE
APLAPOLLO,25780,APLAPOLLO-EQ,NSE
INDIANB,14309,INDIANB-EQ,NSE
AMBUJACEM,1270,AMBUJACEM-EQ,NSE
BAJAJFINSV,16675,BAJAJFINSV-EQ,NSE
COLPAL,15141,COLPAL-EQ,NSE
HDFCAMC,4244,HDFCAMC-EQ,NSE
BHARTIARTL,10604,BHARTIARTL-EQ,NSE
SUNPHARMA,3351,SUNPHARMA-EQ,NSE
LODHA,3220,LODHA-EQ,NSE
IOC,1624,IOC-EQ,NSE
NHPC,17400,NHPC-EQ,NSE
MFSL,2142,MFSL-EQ,NSE
PNB,10666,PNB-EQ,NSE
TIINDIA,312,TIINDIA-EQ,NSE
